V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q32,Q33,Q34,camera,no_camera,Q27,Q22_1,Q22_2,Q22_3,Q22_4,Q37,Q26,Q27.0,Q29,Q31,Q33.0,Q39,Q41,Q4,Q6,Q8,Q12,Q22,Q23,Q24,Q38_1,Q38_2,Q38_3,Q38_4,Q40,Q42,Q30,LocationLatitude,LocationLongitude,LocationAccuracy,condition,calorie
R_28AqfBnbu8TJjU4,Default Response Set,Anonymous,,,128.135.208.229,0,2015/6/24 12:06,2015/6/24 14:11,1,1,1,NA,1,NA,1,0,0,188.28,0,1,1,very big,many,very much,&nbsp;,most,&nbsp;,1,Female,33,No,Do not know,no,NA,0,0,30.018,0,1,"MMS: judging by my phone timer, participant took longer than three minutes",23,41.780395507812,-87.60269928,-1,camera,9
R_3dS12fOdNPFlXEk,Default Response Set,Anonymous,,,128.135.208.229,0,2015/6/24 14:11,2015/6/24 15:14,1,1,1,NA,1,NA,1,0,0,207.989,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,most,&nbsp;,1,Female,19,Yes,,yes,1,0,0,30.015,0,1,MMS,12,41.780395507812,-87.60269928,-1,camera,6
R_pLekniiRMrQBabT,Default Response Set,Anonymous,,,205.208.116.131,0,2015/6/24 15:14,2015/6/24 15:40,1,1,NA,1,NA,1,1,0,0,186.882,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,not at all,1,Male,20,Yes,,yes,1,0,0,30.02,0,1,MMS,0,41.780395507812,-87.60269928,-1,no camera,5.5
R_OlekHSOQRZBICl3,Default Response Set,Anonymous,,,205.208.116.131,0,2015/6/24 15:41,2015/6/24 15:49,1,1,NA,1,NA,1,1,0,0,196.744,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Male,20,Yes,Maybe perceptions of caloric intake as colored by enjoyment of taste?,yes,1,0,0,30.021,0,1,MMS,0,41.780395507812,-87.60269928,-1,no camera,4.5
R_6VvGDnay4L8uVYB,Default Response Set,Anonymous,,,205.208.116.131,0,2015/6/24 15:49,2015/6/24 16:03,1,1,1,NA,1,NA,1,0,0,184.459,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Male,21,Yes,Something about how people eat differently or taste food differently while being watched/while knowing that their eating style is forever preserved in a video file.,yes,1,0,0,30.02,0,1,MMS,0,41.780395507812,-87.60269928,-1,camera,4.5
R_0kBev6p5o296MZr,Default Response Set,Anonymous,,,128.135.193.138,0,2015/6/25 12:11,2015/6/25 13:45,1,1,1,NA,1,NA,1,0,0,197.28,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Male,20,No,Hypothesis on how people eat while being recorded,no,NA,0,0,30.018,0,1,fb,0,41.780395507812,-87.60269928,-1,camera,3
R_3KwmWSctCGOh9oM,Default Response Set,Anonymous,,,128.135.196.139,0,2015/6/25 13:45,2015/6/25 14:35,1,1,NA,1,NA,1,1,0,0,286.105,0,1,1,&nbsp;,&nbsp;,not at all,not at all,none,not at all,1,Female,19,No,,yes,1,0,0,30.02,0,1,"fb, didnt eat any chips",31,41.780395507812,-87.60269928,-1,no camera,4
R_216wFn4ZEMiN8WU,Default Response Set,Anonymous,,,128.135.196.139,0,2015/6/25 14:35,2015/6/25 15:00,1,1,NA,1,NA,1,1,0,0,200.106,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,most,&nbsp;,1,Female,25,No,Whether feeling observed affects how much u eat or how tasty the food is?,no,NA,0,0,30.021,0,1,fb,12,41.780395507812,-87.60269928,-1,no camera,5
R_1cSs4cgReHbvXGJ,Default Response Set,Anonymous,,,128.135.196.139,0,2015/6/25 15:03,2015/6/25 15:48,1,1,1,NA,1,NA,1,0,0,183.409,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Male,21,Yes,People enjoy food less when they're timed.,yes,1,0,0,30.015,0,1,fb- never came to get me after the 3 min,0,41.780395507812,-87.60269928,-1,camera,5.5
R_QoUG5Wimka63FHH,Default Response Set,Anonymous,,,128.135.196.139,0,2015/6/25 15:48,2015/6/26 12:35,1,1,NA,1,NA,1,1,0,0,192.046,0,1,1,&nbsp;,&nbsp;,not at all,&nbsp;,all,&nbsp;,1,Male,22,Yes,That people eat things for no reason and without thinking about it.,yes,1,0,0,30.019,0,1,"MMS: participant got confused about the ipad, came to get me when he still had about 20 seconds left in the timer",0,41.780395507812,-87.60269928,-1,no camera,2
R_BMb5jqC0BbZuQb7,Default Response Set,Anonymous,,,128.135.196.139,0,2015/6/26 12:35,2015/6/26 12:52,1,1,1,NA,1,NA,1,0,0,204.317,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,most,&nbsp;,1,Female,21,Yes,Don't know,yes,1,0,0,30.021,0,1,MMS,8,41.780395507812,-87.60269928,-1,camera,5
R_2Tt2V5MI1vLwdUu,Default Response Set,Anonymous,,,128.135.100.111,0,2015/6/26 14:25,2015/6/26 14:41,1,1,NA,1,NA,1,1,0,0,199.797,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,not at all,1,Female,23,Yes,Is eating by oneself fun?,yes,1,0,0,30.02,0,1,MMS,0,41.780395507812,-87.60269928,-1,no camera,5.5
R_3MAMBDMsXrIueP5,Default Response Set,Anonymous,,,128.135.100.111,0,2015/6/26 14:41,2015/6/26 15:00,1,1,NA,1,NA,1,1,0,0,190.307,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,not at all,1,Male,19,Yes,Having s limited amount of time to consume food affects how much it is enjoyed,no,NA,0,0,30.02,0,1,MMS,0,41.780395507812,-87.60269928,-1,no camera,3
R_2pYb2m5fsJDLEfF,Default Response Set,Anonymous,,,128.135.100.111,0,2015/6/26 15:00,2015/6/26 15:15,1,1,1,NA,1,NA,1,0,0,198.801,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Female,20,Yes,People enjoy food less if they feel watched.,no,NA,0,0,30.017,0,1,MMS,0,41.780395507812,-87.60269928,-1,camera,5.5
R_abiMyZHu8vwMXfj,Default Response Set,Anonymous,,,128.135.100.111,0,2015/6/26 15:15,2015/6/26 16:00,1,1,NA,1,NA,1,1,0,0,186.672,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,not at all,1,Female,24,No,Taste and my attention to health,yes,1,0,0,30.038,0,1,MMS,0,41.780395507812,-87.60269928,-1,no camera,4.5
R_OwKyErwXTY4zFMl,Default Response Set,Anonymous,,,128.135.100.111,0,2015/6/29 12:03,2015/6/29 12:59,1,1,1,NA,1,NA,1,0,0,191.286,0,1,1,&nbsp;,many,very much,&nbsp;,all,&nbsp;,1,Female,22,No,Whether we check the label of the packet of the food we consume,no,NA,0,0,30.018,0,1,fb,0,41.780395507812,-87.60269928,-1,camera,9
R_1ilh9Jfkrxkeoty,Default Response Set,Anonymous,,,128.135.100.111,0,2015/6/29 12:59,2015/6/29 13:34,1,1,1,NA,1,NA,1,0,0,203.997,0,1,1,&nbsp;,&nbsp;,&nbsp;,NA,all,&nbsp;,1,Male,19,Yes,How you eat when being observed.,no,NA,0,0,30.738,0,1,fb,0,41.780395507812,-87.60269928,-1,camera,4.5
R_bpcg0uDe6TIL3yh,Default Response Set,Anonymous,,,128.135.100.111,0,2015/6/29 13:34,2015/6/29 14:07,1,1,NA,1,NA,1,1,0,0,197.748,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Male,18,Yes,How observation affects percepetions of food intake.,yes,1,0,0,30.027,0,1,Fb,0,41.780395507812,-87.60269928,-1,no camera,6
R_RKv0ocNIVi53SKd,Default Response Set,Anonymous,,,128.135.100.111,0,2015/6/29 14:08,2015/6/29 14:51,1,1,1,NA,1,NA,1,0,0,187.652,0,1,1,&nbsp;,&nbsp;,&nbsp;,not at all,a bit,&nbsp;,1,Female,21,Yes,To see if watching-ness correlated with enjoyment and amount of food eaten.,yes,1,0,0,30.022,0,1,fb,0,41.780395507812,-87.60269928,-1,camera,4.5
R_6nAVXwjVEGYbJZv,Default Response Set,Anonymous,,,128.135.100.115,0,2015/6/29 14:51,2015/6/30 12:16,1,1,NA,1,NA,1,1,0,0,202.713,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,not at all,1,Male,19,Yes,If we are being observed we percieve calories differently.,yes,1,0,0,30.022,0,1,MMS,0,41.780395507812,-87.60269928,-1,no camera,4.5
R_3QGK5wB63eD8qMb,Default Response Set,Anonymous,,,128.135.100.115,0,2015/6/30 12:16,2015/6/30 13:19,1,1,NA,1,NA,1,1,0,0,203.649,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Male,20,Yes,"People will give quite different answers when eating in front of a stranger, due to self-consciousness",no,NA,0,0,30.024,0,1,MMS: participant finished food before 3 minutes were up,0,41.780395507812,-87.60269928,-1,no camera,5
R_3G7Kdx8eEo6HfQs,Default Response Set,Anonymous,,,128.135.100.115,0,2015/6/30 13:19,2015/6/30 13:56,1,1,1,NA,1,NA,1,0,0,201.737,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,not at all,1,Male,20,Yes,,no,NA,0,0,30.02,0,1,MMS,0,41.780395507812,-87.60269928,-1,camera,5
R_2EDXmmUbjXrR1Eq,Default Response Set,Anonymous,,,128.135.100.115,0,2015/6/30 13:56,2015/6/30 14:14,1,1,NA,1,NA,1,1,0,0,216.62,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,not at all,1,Female,19,Yes,"If people are concerned about the number of calories in the snack, then they will eat less.",yes,1,0,0,30.014,0,1,MMS,0,41.780395507812,-87.60269928,-1,no camera,7
R_210V83A3H3rp9Ci,Default Response Set,Anonymous,,,128.135.100.112,0,2015/6/30 14:14,2015/7/1 13:52,1,1,1,NA,1,NA,1,0,0,202.803,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Male,21,Yes,That subjects with the camera turned on them would be more self-conscious and eat less/think they ate more.,yes,1,0,0,30.024,0,1,fb,0,41.780395507812,-87.60269928,-1,camera,3
R_3GvTHh1jbVuacJO,Default Response Set,Anonymous,,,128.135.100.113,0,2015/7/1 15:46,2015/7/6 13:03,1,1,1,NA,1,NA,1,0,0,208.794,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Male,19,Yes,How people evaluate food relative to the size of the portion to a persons daily intake,yes,1,0,0,30.019,0,1,MMS,0,41.780395507812,-87.60269928,-1,camera,6.5
R_3GqvzJPkafI7ULH,Default Response Set,Anonymous,,,128.135.100.113,0,2015/7/6 13:03,2015/7/6 15:44,1,1,NA,1,NA,1,1,0,0,182.728,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Male,21,Yes,Probably something about how I perceived the performative act of eating under study conditions,yes,1,0,0,30.021,0,1,MMS,0,41.780395507812,-87.60269928,-1,no camera,8
R_21GRl0UpAtyOSnu,Default Response Set,Anonymous,,,128.135.100.113,0,2015/7/6 15:44,2015/7/6 15:58,1,1,1,NA,1,NA,1,0,0,205.126,0,1,1,&nbsp;,many,&nbsp;,&nbsp;,most,&nbsp;,1,Female,21,Yes,Pressure from observation and time expectations causes people to enjoy food less and eat more quickly.,yes,1,0,0,30.02,0,1,MMS,13,41.780395507812,-87.60269928,-1,camera,7.5
R_0HeiSIWbaci1Mg9,Default Response Set,Anonymous,,,128.135.100.110,0,2015/7/7 12:05,2015/7/7 12:31,1,1,NA,1,NA,1,1,0,0,189.786,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,not at all,1,Male,22,Yes,"Left without external distractions, people will read the nutritional value information of a snack if it is available",yes,1,0,0,30.022,0,1,fb,0,41.780395507812,-87.60269928,-1,no camera,2.5
R_2fq9gJzf0WSea5w,Default Response Set,Anonymous,,,128.135.100.110,0,2015/7/7 12:31,2015/7/7 12:50,1,1,1,NA,1,NA,1,0,0,209.924,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Male,28,Yes,To test the level of desire in continuing to eat based upon being observed.,yes,1,0,0,30.016,0,1,fb,0,41.780395507812,-87.60269928,-1,camera,6
R_pnlyDENKH4HWwrn,Default Response Set,Anonymous,,,128.135.100.110,0,2015/7/7 12:50,2015/7/7 13:17,1,1,NA,1,NA,1,1,0,0,196.12,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Male,26,Yes,Eating a lot quickly makes you feel like youve eaten a lot?,no,NA,0,0,30.018,0,1,fb,0,41.780395507812,-87.60269928,-1,no camera,5.5
R_3GlUrZZ7zgyjDhb,Default Response Set,Anonymous,,,128.135.100.110,0,2015/7/7 13:17,2015/7/7 13:32,1,1,NA,1,NA,1,1,0,0,206.645,0,1,1,&nbsp;,&nbsp;,&nbsp;,not at all,most,not at all,1,Female,19,Yes,Perhaps something about being observed and how much that affects the amount people eat or the rate of food consumption.,no,NA,0,0,30.034,0,1,fb,0,41.780395507812,-87.60269928,-1,no camera,6
R_1QFvB76hzxyrY0Z,Default Response Set,Anonymous,,,128.135.100.110,0,2015/7/7 13:33,2015/7/7 14:40,1,1,1,NA,1,NA,1,0,0,182.405,0,1,1,&nbsp;,many,&nbsp;,&nbsp;,all,&nbsp;,1,Male,28,Yes,Tried not to worry about it.,yes,1,0,0,30.014,0,1,fb,0,41.780395507812,-87.60269928,-1,camera,7
R_CleCcoPOJfEKzpT,Default Response Set,Anonymous,,,128.135.100.110,0,2015/7/7 14:40,2015/7/7 14:49,1,1,NA,1,NA,1,1,0,0,183.093,0,1,1,&nbsp;,&nbsp;,&nbsp;,not at all,all,not at all,1,Female,21,Yes,Don't know,yes,1,0,0,30.021,0,1,fb,0,41.780395507812,-87.60269928,-1,no camera,4
R_OeW49OM44PzBdXr,Default Response Set,Anonymous,,,128.135.100.110,0,2015/7/7 15:28,2015/7/7 15:40,1,1,1,NA,1,NA,1,0,0,182.864,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Male,18,Yes,How sense of portion size is affected by the presence of others.,yes,1,0,0,30.018,0,1,fb,0,41.780395507812,-87.60269928,-1,camera,2.5
R_2v84nE7r1azORCi,Default Response Set,Anonymous,,,128.135.100.110,0,2015/7/7 15:40,2015/7/7 15:51,1,1,NA,1,NA,1,1,0,0,197.756,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,not at all,1,Male,18,No,The hypothesis involves measuring the appropriate snack size for a certain age demographic,yes,1,0,0,30.019,0,1,fb,0,41.780395507812,-87.60269928,-1,no camera,5
R_3MomzQNnn8hSsw7,Default Response Set,Anonymous,,,128.135.100.110,0,2015/7/7 15:51,2015/7/8 12:19,1,1,1,NA,1,NA,1,0,0,181.974,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Male,21,Yes,"People eat more slowly while being observed, or something",no,NA,0,0,30.348,0,1,MMS,0,41.780395507812,-87.60269928,-1,camera,5
R_1fgdgaMREnaRLBq,Default Response Set,Anonymous,,,128.135.100.110,0,2015/7/8 12:19,2015/7/8 12:34,1,1,1,NA,1,NA,1,0,0,182.013,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Male,19,Yes,No clue,no,NA,0,0,30.023,0,1,MMS,0,41.780395507812,-87.60269928,-1,camera,5
R_1GB1qtgJXsPAnmS,Default Response Set,Anonymous,,,128.135.100.110,0,2015/7/8 12:34,2015/7/8 12:57,1,1,NA,1,NA,1,1,0,0,183.902,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Male,20,Yes,Salty food makes us feel self concious,yes,1,0,0,30.083,0,1,MMS,0,41.780395507812,-87.60269928,-1,no camera,6.5
R_2X6Xn7330A7GZCs,Default Response Set,Anonymous,,,128.135.100.110,0,2015/7/8 12:57,2015/7/8 13:22,1,1,1,NA,1,NA,1,0,0,205.996,0,1,1,&nbsp;,NA,&nbsp;,&nbsp;,most,not at all,1,Male,53,Yes,Calorie intake,no,NA,0,0,30.016,0,1,MMS,12,41.780395507812,-87.60269928,-1,camera,2
R_2aytHb8qRteGPqQ,Default Response Set,Anonymous,,,54.174.77.195,0,2015/7/8 13:33,2015/7/8 16:01,1,1,NA,1,NA,1,1,0,0,187.76,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Female,18,No,Females are more self conscious about eating while being observed,yes,1,0,0,30.023,0,1,MMS,0,39.043701171875,-77.48750305,-1,no camera,4.5
R_1pWgkr8mz6g2xdA,Default Response Set,Anonymous,,,128.135.100.113,0,2015/7/8 16:01,2015/7/9 12:53,1,1,1,NA,1,NA,1,0,0,199.562,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Female,20,Yes,"To see the ways in which people consume snacks, specifically when they are being observed or ""timed"".",yes,1,0,0,30.017,0,1,fb,0,41.780395507812,-87.60269928,-1,camera,6.5
R_3erePLMHGZctLsQ,Default Response Set,Anonymous,,,128.135.100.113,0,2015/7/9 12:53,2015/7/9 14:16,1,1,NA,1,NA,1,1,0,0,204.379,0,1,1,&nbsp;,many,&nbsp;,&nbsp;,all,not at all,1,Female,25,Yes,Whether people over or underestimate calories based on perceived healthiness of a food,yes,1,0,0,30.543,0,1,fb,0,41.780395507812,-87.60269928,-1,no camera,7
R_2pKx3PzJiyTNbv5,Default Response Set,Anonymous,,,128.135.100.113,0,2015/7/9 14:20,2015/7/9 15:36,1,1,NA,1,NA,1,1,0,0,183.569,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Female,18,Yes,Saltiness affects the mental perception of portion size.,yes,1,0,0,30.022,0,1,fb,0,41.780395507812,-87.60269928,-1,no camera,4.5
R_31maylvq3z5M05m,Default Response Set,Anonymous,,,128.135.100.113,0,2015/7/9 15:36,2015/7/9 15:55,1,1,1,NA,1,NA,1,0,0,182.781,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Female,18,Yes,People enjoy food less when they are given a time constraint in which they must eat the food.,no,NA,0,0,30.021,0,1,Fb,0,41.780395507812,-87.60269928,-1,camera,7.5
R_2rBbOfeL78gIwIO,Default Response Set,Anonymous,,,128.135.100.113,0,2015/7/9 15:55,2015/7/9 16:04,1,1,1,NA,1,NA,1,0,0,182.885,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,very much,1,Female,18,No,Do people act weird while eating if they are being watched,yes,1,0,0,30.016,0,1,"fb, issue w camera - battery?",0,41.780395507812,-87.60269928,-1,camera,6.5
R_1gUvirOI4bv6VKk,Default Response Set,Anonymous,,,128.135.100.109,0,2015/7/10 12:09,2015/7/10 14:24,1,1,NA,1,NA,1,1,0,0,182.329,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,not at all,1,Female,18,Yes,Does the length of time it takes for the average person change with the changes in their surroundings?,no,NA,0,0,30.024,0,1,MMS: participant finished before time was up,0,41.780395507812,-87.60269928,-1,no camera,6.5
R_1jPApUC5ifTDWH4,Default Response Set,Anonymous,,,128.135.100.111,0,2015/7/10 14:24,2015/7/13 13:38,1,1,1,NA,1,NA,1,0,0,201.043,0,1,1,&nbsp;,&nbsp;,&nbsp;,not at all,all,&nbsp;,1,Male,22,Yes,"""do people hate Fritos?""",no,NA,0,0,30.018,0,1,fb,0,41.780395507812,-87.60269928,-1,camera,5
R_wZza9e7TgiA1vGx,Default Response Set,Anonymous,,,128.135.100.111,0,2015/7/13 13:38,2015/7/13 15:15,1,1,NA,1,NA,1,1,147.007,147.007,184.417,1,1,1,very small,&nbsp;,&nbsp;,&nbsp;,all,not at all,1,Male,25,Yes,Someones concern for health will make them less likely to finish snacks in the time period.,yes,1,0,0,30.022,0,1,fb,0,41.780395507812,-87.60269928,-1,no camera,7
R_2EoWlMLkMEMmt7f,Default Response Set,Anonymous,,,54.174.77.195,0,2015/7/13 15:15,2015/7/14 12:53,1,1,1,NA,1,NA,1,0,0,187.729,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Female,18,Yes,How observant you are when you snack,yes,1,0,0,30.018,0,1,MMS,0,39.043701171875,-77.48750305,-1,camera,6.5
R_2WIuZxPxQleqIHM,Default Response Set,Anonymous,,,128.135.100.110,0,2015/7/14 12:53,2015/7/14 13:42,1,1,NA,1,NA,1,1,0,0,181.566,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,not at all,1,Male,19,Yes,That people often don't account for calories/nutrition from their daily snack food intake,yes,1,0,0,30.02,0,1,MMS,0,41.780395507812,-87.60269928,-1,no camera,4
R_2wT6fPiWBHg18lb,Default Response Set,Anonymous,,,128.135.100.110,0,2015/7/14 13:42,2015/7/14 14:14,1,1,1,NA,1,NA,1,0,0,182.008,0,1,1,&nbsp;,many,&nbsp;,&nbsp;,all,&nbsp;,1,Male,20,Yes,How many snacks are consumed a day?,yes,1,0,0,30.02,0,1,MMS,0,41.780395507812,-87.60269928,-1,camera,5.5
R_2tJeToUW6uiZcg9,Default Response Set,Anonymous,,,128.135.100.110,0,2015/7/14 14:14,2015/7/14 14:44,1,1,NA,1,NA,1,1,0,0,194.9,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,not at all,1,Female,23,Yes,People will eat more when they feel they are not being observed,no,NA,0,0,30.017,0,1,MMS,0,41.780395507812,-87.60269928,-1,no camera,5
R_1oAnG9RiL0XdqsI,Default Response Set,Anonymous,,,128.135.100.110,0,2015/7/14 14:44,2015/7/14 15:39,1,1,1,NA,1,NA,1,0,0,231.843,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,most,&nbsp;,1,Female,18,Yes,People experience snacking differently under perceived pressure.,yes,1,0,0,30.021,0,1,MMS,7,41.780395507812,-87.60269928,-1,camera,5
R_2tJ8ApURYCpLrk6,Default Response Set,Anonymous,,,128.135.100.115,0,2015/7/14 15:39,2015/7/15 15:46,1,1,NA,1,NA,1,1,0,0,258.472,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,most,&nbsp;,1,Female,19,No,Effect of food on perception.,yes,1,0,0,30.021,0,1,fb,17,41.780395507812,-87.60269928,-1,no camera,4
R_2ygh4LBq1yNLOIy,Default Response Set,Anonymous,,,128.135.100.111,0,2015/7/15 15:46,2015/7/16 12:29,1,1,NA,1,NA,1,1,0,0,206.193,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,most,&nbsp;,1,Female,18,Yes,People are more observant of what they eat when thry are neing studied.,yes,1,0,0,30.023,0,1,MMS,5,41.780395507812,-87.60269928,-1,no camera,6
R_2ym86U2QrUgzUVu,Default Response Set,Anonymous,,,128.135.100.111,0,2015/7/16 12:29,2015/7/16 14:12,1,1,1,NA,1,NA,1,0,0,198.094,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Male,18,Yes,Not sure.,yes,1,0,0,30.023,0,1,MMS,0,41.780395507812,-87.60269928,-1,camera,6
