"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","Q32","Q22_1","Q22_2","Q22_3","Q22_4","Q37","Q25","Q29","Q38","Q26","Q30","Q33","Q34","Q27","Q19","Q20","Q31","Q18","Q34.0","Q35","Q26.0","Q31.0","Q4","Q6","Q8","Q12","Q22","Q23","Q24","Q38_1","Q38_2","Q38_3","Q38_4","Q40","Q42","Q30.0","Q35.0","Q36","LocationLatitude","LocationLongitude","LocationAccuracy","grapes_total","almonds_total","mm_total","condition","Zgrapes","Zalmonds","Zmm","zoverall_food","Zgrapes_total","Zalmonds_total","Zmm_total","mm_grams","mm_accuracy","grapes_grams","grapes_accuracy","almonds_grams","almond_accuracy","overall_grams_inaccurate","overall_grams_eaten"
"R_ebws99xMWP1EGDX","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-16 13:17:41,2015-02-16 13:31:57,1,1,0,0,300.111,0,1,1,NA,1,1,12,10,15,"&nbsp;","&nbsp;","&nbsp;",1,"&nbsp;","&nbsp;","&nbsp;","not at all","not at all",1,"Female",45,"Yes","That people will tend to make less healthy choices left on their own - eat more, and more calories; and would make better choices if they are aware someone is watching.","yes",1,0,0,17.764,0,1,"iPad froze so participant did the donation first",159,105,102,"41.780395507812","-87.602699279785","-1",55,9,12,"observed",-0.586739402813061,-0.294319426131895,0.274858989359141,-0.606199839585815,-0.465159948345418,-0.559458999008073,-0.148283835451896,12,0,36,19,12,-3,16,76
"R_86WAtAQDoJ7iUrr","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-16 13:32:05,2015-02-16 14:06:20,1,1,0,0,300.113,0,1,NA,1,1,1,1,3,1,"very small","&nbsp;","not at all",1,"&nbsp;","very satisfied","&nbsp;","not at all","not at all",1,"Female",18,"Yes","Males eat more than females.","no",NA,0,0,30.026,0,1,"",209,111,114,"41.780395507812","-87.602699279785","-1",5,3,0,"control",-1.63416445729387,-1.00591409128631,-1.10412638387614,-3.74420493245633,-1.40880184833016,-0.995837018234371,-1.14322053783884,0.8,-0.8,3,2,3.6,-0.6,0.6,8
"R_8wViu4qaIEbWmgJ","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-16 14:10:55,2015-02-16 14:25:10,1,1,0,0,300.146,0,1,1,NA,1,1,1,30,25,"&nbsp;","&nbsp;","&nbsp;",1,"&nbsp;","very satisfied","&nbsp;","not at all","not at all",1,"Male",22,"Yes","Pig out when no ones lookin","no",NA,0,0,29.565,0,1,"Pulled out phone at 4 minute mark",210,65,76,"41.780395507812","-87.602699279785","-1",4,49,38,"observed",-1.63416445729387,1.73880818859501,1.25984854167006,1.3644922729712,-1.42767468632985,2.34972779583391,2.00741235305316,20,18,3,1,36,13,32,91
"R_0kO7MMBg8l60mK9","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-16 14:25:52,2015-02-16 15:30:55,1,1,0,0,300.138,0,1,NA,1,1,1,6,6,4,"&nbsp;","&nbsp;","&nbsp;",1,"very much","very satisfied","very satisfied","&nbsp;","&nbsp;",1,"Female",19,"Yes","Does feeling watched affect how much you feel you've eaten","yes",1,0,0,30.027,0,1,"May have looked at comments section accidentally...",189,110,110,"41.780395507812","-87.602699279785","-1",25,4,4,"control",-1.15806215980259,-0.700944949077277,-0.808629518182866,-2.66763662706274,-1.03134508833626,-0.923107348363321,-0.811574970376529,3.2,0.8,18,7,7.2,-3.2,4.6,33
"R_7TGItmcxJb6EA4Z","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-16 15:31:01,2015-02-16 15:54:17,1,1,0,0,460.572,0,1,NA,1,1,1,22,27,23,"&nbsp;","&nbsp;","&nbsp;",1,"&nbsp;","very satisfied","very satisfied","&nbsp;","&nbsp;",1,"Male",18,"Yes","To determine how much people eat when a given a certain amount of food and to determine how much they think they ate?","yes",1,0,0,29.506,0,1,"Looked like he might have been on phone",121,76,88,"41.780395507812","-87.602699279785","-1",93,38,26,"control",0.365465192169495,1.43383904638598,1.06285063120787,2.86215486976335,0.252007895642983,1.54970142725237,1.01247565066621,18.4,7.6,66,27,32.4,5.6,40.2,157
"R_eg5Y94ruoabeIaF","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-16 15:54:26,2015-02-16 16:15:27,1,1,0,0,300.156,0,1,NA,1,1,1,10,15,7,"&nbsp;","&nbsp;","&nbsp;",1,"very much","very satisfied","very satisfied","not at all","not at all",1,"Male",20,"Yes","","no",NA,0,0,30.038,0,1,"Looked good",167,104,101,"41.780395507812","-87.602699279785","-1",47,10,13,"control",-0.777180321809572,0.213962477549832,-0.513132652489592,-1.07635049674933,-0.616142652342976,-0.486729329137023,-0.0653724435863168,5.6,7.4,30,17,18,-8,16.4,70
"R_4GcvPZlWXkD9jU1","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-16 16:15:34,2015-02-16 16:35:16,1,1,0,0,300.121,0,1,1,NA,1,1,20,5,4,"&nbsp;","&nbsp;","&nbsp;",1,"very much","&nbsp;","very satisfied","&nbsp;","&nbsp;",1,"Male",18,"No","The consumption of food in a laboratory setting will affect the portion consumed which may have a cultural aspect to the way we consume food around others or in private.","yes",1,4.343,8.687,30.025,4,1,"Took napkin to use as "" plate""",71,101,111,"41.780395507812","-87.602699279785","-1",143,13,3,"observed",0.175024273172984,-0.802601329813622,-0.808629518182866,-1.4362065748235,1.19564979562772,-0.268540319523875,-0.894486362242108,3.2,-0.2,60,83,6,7,89.8,159
"R_eD5yLGU6WszSWk5","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-16 16:35:22,2015-02-16 17:27:48,1,1,0,0,303.882,0,1,NA,1,1,1,15,12,3,"&nbsp;","&nbsp;","very much",1,"very much","very satisfied","very satisfied","not at all","not at all",1,"Female",23,"Yes","To determine people's overall judgement of themselves in relation to amount and type of food consumed and judgement from other people.","no",NA,0,0,30.025,0,1,"Ss",129,105,112,"41.780395507812","-87.602699279785","-1",85,9,2,"control",-0.301078024318294,-0.0910066646592043,-0.907128473413958,-1.29921316239146,0.101025191645425,-0.559458999008073,-0.977397754107687,2.4,-0.4,45,40,14.4,-5.4,34.2,96
"R_3ksyjVlDx19ZjMh","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-16 17:27:54,2015-02-17 16:45:06,1,1,0.181,0.181,312.516,1,1,1,NA,1,1,15,40,30,"&nbsp;","&nbsp;","&nbsp;",1,"&nbsp;","very satisfied","very satisfied","not at all","&nbsp;",1,"Male",22,"Yes","How does instructional encouragement affect the amount the subject eat?","yes",1,0,0,20.797,0,1,"None",153,72,96,"41.780395507812","-87.602699279785","-1",61,42,18,"observed",-0.301078024318294,2.75537199595847,1.75234331782551,4.20663728946569,-0.35192292034725,1.84062010673656,0.349184515741579,24,-6,45,16,48,-6,4,121
"R_2skkulTzrNlMFrD","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-17 16:51:00,2015-02-17 17:46:35,1,1,0,0,423.952,0,1,1,NA,1,1,15,30,45,"very big","&nbsp;","&nbsp;",1,"&nbsp;","very satisfied","very satisfied","not at all","not at all",1,"Female",27,"Yes","People eat more when they are alone and with tempting foods. I assume that most people ate more of the m and m's compared to the almonds or grapes.","no",NA,0,0,30.026,0,1,"",164,82,59,"41.780395507812","-87.602699279785","-1",50,32,55,"observed",-0.301078024318294,1.73880818859501,3.22982764629189,4.66755781056861,-0.559524138343892,1.11332340802607,3.41690601476801,36,19,45,5,36,-4,20,137
"R_5uqbUFCVkEmGTsh","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-17 17:49:43,2015-02-17 18:06:08,1,1,0,0,304.361,0,1,1,NA,1,1,20,1,20,"&nbsp;","&nbsp;","&nbsp;",1,"&nbsp;","&nbsp;","very satisfied","not at all","not at all",1,"Male",22,"Yes","To see what I ate when I thought no one was looking","yes",1,0,0,30.023,0,1,"",148,112,79,"41.780395507812","-87.602699279785","-1",66,2,35,"observed",0.175024273172984,-1.209226852759,0.767353765514599,-0.26684881407142,-0.257558730348776,-1.06856668810542,1.75867817745642,16,19,60,6,1.2,0.8,25.8,103
"R_baw7mDBds8qVZB3","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-18 11:52:04,2015-02-18 16:47:34,1,1,0,0,300.164,0,1,NA,1,1,1,10,5,0,"&nbsp;","&nbsp;","&nbsp;",1,"very much","very satisfied","very satisfied","&nbsp;","&nbsp;",1,"Female",20,"Yes","What type of snack students prefer/if they'll eat anything in a lab setting and if they do what do they choose","yes",1,15.955,15.955,18.802,1,1,"She may have seen me looking through the window the SEcond time",183,111,114,"41.780395507812","-87.602699279785","-1",31,3,0,"control",-0.777180321809572,-0.802601329813622,-1.20262533910723,-2.78240699073043,-0.918108060338093,-0.995837018234371,-1.14322053783884,0,0,30,1,6,-3,-2,34
"R_7apb65eybGyO8tf","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-18 16:47:42,2015-02-18 17:05:10,1,1,0,0,300.216,0,1,1,NA,1,1,2,5,12,"&nbsp;","&nbsp;","&nbsp;",1,"very much","very satisfied","&nbsp;","not at all","not at all",1,"Male",24,"Yes","Whether the after-the-fact knowledge of observation causes the subject to provide a more honest report on his or her eating, as opposed to otherwise perhaps exaggerating or dissembling (perhaps presenting a 'healthier' meal).","yes",1,0,0,22.151,0,1,"",207,107,101,"41.780395507812","-87.602699279785","-1",7,7,13,"observed",-1.53894399779562,-0.802601329813622,-0.0206378763341337,-2.36218320394337,-1.37105617233077,-0.704918338750172,-0.0653724435863168,9.6,3.4,6,1,6,1,5.4,27
"R_25dh4ubMgCvOtpz","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-18 17:05:29,2015-02-20 12:44:52,1,1,0,0,300.117,0,1,1,NA,1,1,30,7,3,"very small","&nbsp;","&nbsp;",1,"very much","very satisfied","very satisfied","not at all","not at all",1,"Male",19,"Yes","I don't really know. Maybe what food most people would eat first or more of?","yes",1,0,0,30.026,0,1,"",128,108,111,"41.780395507812","-87.602699279785","-1",86,6,3,"observed",1.12722886815554,-0.599288568340931,-0.907128473413958,-0.379188173599349,0.11989802964512,-0.777648008621222,-0.894486362242108,2.4,0.6,90,-4,8.4,-2.4,-5.8,95
"R_26lwIUIRc2MyMCx","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-20 12:45:22,2015-02-20 13:30:14,1,1,0,0,300.182,0,1,NA,1,1,1,20,0,4,"&nbsp;","&nbsp;","&nbsp;",1,"&nbsp;","very satisfied","&nbsp;","not at all","not at all",1,"Male",18,"No","To try and find a correlation between what people eat and how they view it in terms of the effect it has on their bodies","yes",1,0,0,30.022,0,1,"",60,116,105,"41.780395507812","-87.602699279785","-1",154,-2,9,"control",0.175024273172984,-1.31088323349535,-0.808629518182866,-1.94448847850523,1.40325101362436,-1.35948536758962,-0.397018011048633,3.2,5.8,60,94,0,-2,97.8,161
"R_cOv2OpAPgyihL2R","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-20 13:31:30,2015-02-20 13:45:30,1,1,0,0,300.166,0,1,1,NA,1,1,13,8,2,"&nbsp;","&nbsp;","&nbsp;",1,"&nbsp;","&nbsp;","&nbsp;","not at all","not at all",1,"Female",21,"No","What kind of foods do people eat when they don't feel like they're being judged.","no",NA,0,0,30.025,0,1,"",176,106,111,"41.780395507812","-87.602699279785","-1",38,8,3,"observed",-0.491518943314805,-0.497632187604586,-1.00562742864505,-1.99477855956444,-0.785998194340229,-0.632188668879123,-0.894486362242108,1.6,1.4,39,-1,9.6,-1.6,-1.2,49
"R_a4bPcEGiCN5LYl7","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-20 13:46:55,2015-02-20 14:08:42,1,1,0,0,300.123,0,1,NA,1,1,1,20,8,25,"&nbsp;","&nbsp;","&nbsp;",1,"&nbsp;","very satisfied","&nbsp;","&nbsp;","&nbsp;",1,"Female",18,"Yes","The more variety of food presented, the less people believe they are adding to their daily calorie intake.","no",NA,0,0,30.024,0,1,"",172,101,83,"41.780395507812","-87.602699279785","-1",42,13,31,"control",0.175024273172984,-0.497632187604586,1.25984854167006,0.937240627238455,-0.71050684234145,-0.268540319523875,1.42703260999411,20,11,60,-18,9.6,3.4,-3.6,86
"R_6XVqC2PJCJvi5Lf","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-20 14:08:56,2015-02-20 14:25:40,1,1,0,0,300.168,0,1,1,NA,1,1,20,25,4,"&nbsp;","&nbsp;","&nbsp;",1,"&nbsp;","very satisfied","&nbsp;","&nbsp;","&nbsp;",1,"Male",22,"Yes","What kinds of foods do people eat if they feel they are being watched/judged.","yes",1,0,0,30.021,0,1,"",155,92,111,"41.780395507812","-87.602699279785","-1",59,22,3,"observed",0.175024273172984,1.23052628491329,-0.808629518182866,0.596921039903403,-0.389668596346639,0.386026709315572,-0.894486362242108,3.2,-0.2,60,-1,30,-8,-9.2,84
"R_0wC3Ync9ePMXDwx","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-20 14:25:47,2015-02-20 14:44:27,1,1,0,0,300.123,0,1,1,NA,1,1,10,10,15,"&nbsp;","&nbsp;","&nbsp;",1,"&nbsp;","very satisfied","&nbsp;","&nbsp;","not at all",1,"Female",18,"Yes","Do different types of food affect the awareness of a person's surroundings or behavior?","yes",1,0,0,30.023,0,1,"FB",192,104,106,"41.780395507812","-87.602699279785","-1",22,10,8,"observed",-0.777180321809572,-0.294319426131895,0.274858989359141,-0.796640758582326,-1.08796360233535,-0.486729329137023,-0.479929402914212,12,-4,30,-8,12,-2,-14,40
"R_ddrbwslpQMavv2B","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-20 14:44:34,2015-02-20 15:13:25,1,1,0,0,300.106,0,1,NA,1,1,1,20,10,10,"&nbsp;","&nbsp;","&nbsp;",1,"&nbsp;","very satisfied","very satisfied","not at all","not at all",1,"Female",19,"Yes","People eat more when no one is watching","yes",1,0,0,30.022,0,1,"SS may have noticed me checking on",181,105,104,"41.780395507812","-87.602699279785","-1",33,9,10,"control",0.175024273172984,-0.294319426131895,-0.217635786796317,-0.336930939755228,-0.880362384338703,-0.559458999008073,-0.314106619183054,8,2,60,-27,12,-3,-28,52
"R_aWSTh7fHdvHuZff","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-20 15:14:11,2015-02-20 15:31:31,1,1,0,0,300.185,0,1,NA,1,1,1,20,2,10,"&nbsp;","&nbsp;","&nbsp;",1,"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;",1,"Male",18,"Yes","That being part of a study would make the participant feel ""watched"" and thus they would change their eating patterns.","yes",1,0,0,30.004,0,1,"SS was on phone at 3 minute mark",158,110,93,"41.780395507812","-87.602699279785","-1",56,4,21,"control",0.175024273172984,-1.10757047202266,-0.217635786796317,-1.15018198564599,-0.446287110345723,-0.923107348363321,0.597918691338316,8,13,60,-4,2.4,1.6,10.6,81
"R_2ab04gBe9o5Dhnn","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-20 15:36:58,2015-02-20 15:57:28,1,1,0,0,300.151,0,1,NA,1,1,1,10,10,5,"&nbsp;","&nbsp;","&nbsp;",1,"very much","very satisfied","&nbsp;","&nbsp;","not at all",1,"Female",21,"No","To observe how much we took and how we felt about what we took (guilty, thankful, etc.), depending on whether we were perceived to be watched.","yes",1,0,0,30.024,0,1,"SS",177,107,110,"41.780395507812","-87.602699279785","-1",37,7,4,"control",-0.777180321809572,-0.294319426131895,-0.710130562951775,-1.78163031089324,-0.804871032339924,-0.704918338750172,-0.811574970376529,4,0,30,7,12,-5,2,48
"R_42rY9xZAHcN1n2B","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-20 15:57:36,2015-02-20 16:21:02,1,1,0,0,300.114,0,1,NA,1,1,1,7,20,40,"&nbsp;","&nbsp;","very much",1,"very much","very satisfied","&nbsp;","not at all","not at all",1,"Male",22,"Yes","People would mostly eat the M&Ms","yes",1,0,0,29.319,0,1,"SS",190,87,80,"41.780395507812","-87.602699279785","-1",24,27,34,"control",-1.06284170030434,0.722244381231559,2.73733287013643,2.39673555106365,-1.05021792633596,0.74967505867082,1.67576678559084,32,2,21,3,24,3,8,85
"R_1Sno1Y3TPhonzAp","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-20 16:21:17,2015-02-20 16:53:39,1,1,0,0,300.124,0,1,1,NA,1,1,50,30,0,"&nbsp;","&nbsp;","&nbsp;",1,"very much","very satisfied","&nbsp;","not at all","not at all",1,"Male",19,"Yes","The study was investigating my eating habits while I believe no one is watching. Also, it was investigating my food preferences and how I approached eating the food.","yes",1,0,0,30.027,0,1,"SS Ate most yet",17,63,114,"41.780395507812","-87.602699279785","-1",197,51,0,"observed",3.03163805812065,1.73880818859501,-1.20262533910723,3.56782090760843,2.21478304761124,2.49518713557601,-1.14322053783884,0,0,150,47,36,15,62,248
"R_8wFvBQQKNYI3syN","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-23 13:40:43,2015-02-23 13:56:05,1,1,0,0,300.125,0,1,1,NA,1,1,30,20,10,"&nbsp;","&nbsp;","&nbsp;",1,"very much","very satisfied","&nbsp;","not at all","not at all",1,"Male",22,"No","Food and its effect on attention","yes",1,0,0,30.027,0,1,"SS was on phone at 1.5 mark",95,98,107,"41.780395507812","-87.602699279785","-1",119,16,7,"observed",1.12722886815554,0.722244381231559,-0.217635786796317,1.63183746259078,0.742701683635047,-0.0503513099107257,-0.562840794779791,8,-1,90,29,24,-8,20,142
"R_6sv8B9o53m5u7pX","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-23 13:58:40,2015-02-23 14:13:23,1,1,0,0,300.121,0,1,NA,1,1,1,30,15,20,"&nbsp;","&nbsp;","&nbsp;",1,"very much","very satisfied","very satisfied","not at all","not at all",1,"Male",19,"Yes","How much people will eat while unattended vs. the amount they will eat if they think they are being watched","yes",1,0,0,30.025,0,1,"SS",21,85,91,"41.780395507812","-87.602699279785","-1",193,29,23,"control",1.12722886815554,0.213962477549832,0.767353765514599,2.10854511121997,2.13929169561246,0.89513439841292,0.763741475069474,16,7,90,103,18,11,121,245
"R_eagQJ974CggDOOp","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-23 14:19:33,2015-02-23 14:32:50,1,1,0,0,300.165,0,1,1,NA,1,1,20,15,0,"&nbsp;","&nbsp;","not at all",1,"&nbsp;","&nbsp;","&nbsp;","not at all","not at all",1,"Female",19,"No","How much people eat when they think they're alone","yes",1,0,0,30.032,0,1,"SS",162,95,116,"41.780395507812","-87.602699279785","-1",52,19,-2,"observed",0.175024273172984,0.213962477549832,-1.20262533910723,-0.813638588384417,-0.521778462344503,0.167837699702423,-1.30904332157,0,-2,60,-8,18,1,-9,69
"R_bJxHd2AgVetLRiZ","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-23 14:32:57,2015-02-23 15:22:56,1,1,148.202,168.406,300.15,2,1,1,NA,1,1,25,15,10,"&nbsp;","&nbsp;","&nbsp;",1,"very much","very satisfied","very satisfied","&nbsp;","&nbsp;",1,"Female",19,"Yes","How people respond to an assortment of food ranging in healthiness when they don't think they are being watched.","yes",1,0,0,30.027,0,1,"SS had phone out",185,102,99,"41.780395507812","-87.602699279785","-1",29,12,15,"observed",0.651126570664262,0.213962477549832,-0.217635786796317,0.647453261417777,-0.955853736337482,-0.341269989394924,0.100450340144841,8,7,75,-46,18,-6,-45,56
"R_77IGCtgYNCrrOpn","Default Response Set","Anonymous","","","128.135.100.113","0",2015-02-23 15:23:03,2015-02-23 15:43:18,1,1,0,0,300.117,0,1,1,NA,1,1,4,6,0,"&nbsp;","&nbsp;","&nbsp;",1,"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;",1,"Other",18,"No","How does being/feeling watched affect our eating habits/how we think/feel about them?","yes",1,0,0,30.023,0,1,"SS was on phone despite being told not to :(",202,111,115,"41.780395507812","-87.602699279785","-1",12,3,-1,"observed",-1.34850307879911,-0.700944949077277,-1.20262533910723,-3.25207336698361,-1.27669198233229,-0.995837018234371,-1.22613192970442,0,-1,12,0,7.2,-4.2,-5.2,14
