"ResponseID","IPAddress","StartDate","EndDate","Obs","Action","Estimate","Objcorrect","Accuracy","Objworked","Check","Gender","Age","Check2","accuracy_worked","incorrect"
"R_9NNGBV2gcu3rHO5","58.247.52.2",2016-03-03 12:25:13.000002,2016-03-03 12:35:01,"Unobserved","Action",12,13,1,13,"Unobserved","Male",20,"Correct",1,0
"R_ePcgunhUWtZGejP","58.247.52.2",2016-03-03 13:11:36,2016-03-03 15:29:14,"Unobserved","Action",12,14,2,15,"Unobserved","Male",20,"Correct",3,1
"R_1ZhA9TxeaNNcuMZ","58.247.52.2",2016-03-04 12:17:32,2016-03-04 12:26:25,"Unobserved","Action",12,17,5,17,"Unobserved","Female",19,"Correct",5,0
"R_cAYcGXHgywZbfpz","58.247.52.2",2016-03-03 16:51:23.000002,2016-03-04 12:58:12.999998,"Unobserved","Action",12,16,4,16,"Unobserved","Female",20,"Correct",4,0
"R_cZKeT7H11NEOouN","108.61.250.50",2016-03-04 16:00:46,2016-03-04 16:32:23,"Unobserved","Action",12,15,3,15,"Unobserved","Male",18,"Correct",3,0
"R_3Vihq372KHIMU4J","58.247.52.2",2016-03-03 12:37:46,2016-03-03 12:45:35,"Unobserved","Action",13,13,0,13,"Unobserved","Female",19,"Correct",0,0
"R_4JvFqo9FkdoEmZD","108.61.250.50",2016-03-03 13:03:54,2016-03-03 13:13:13,"Unobserved","Action",13,12,-1,12,"Unobserved","Female",20,"Correct",-1,0
"R_1SNE8FPwjY9MSSF","108.61.250.50",2016-03-04 15:00:22,2016-03-04 15:11:16,"Unobserved","Action",14,15,1,15,"Unobserved","Female",18,"Correct",1,0
"R_6y4hfvAnjHDIq0d","58.247.52.2",2016-03-03 12:20:46,2016-03-03 12:31:45,"Unobserved","Action",15,11,-4,11,"Unobserved","Female",20,"Correct",-4,0
"R_afSDUvl0848bbr7","58.247.52.2",2016-03-03 12:49:26,2016-03-03 12:56:42.999998,"Unobserved","Action",15,18,3,18,"Unobserved","Female",20,"Correct",3,0
"R_50fuXHZA53M9WIZ","58.247.52.2",2016-03-03 15:08:54,2016-03-03 15:25:04,"Unobserved","Action",15,21,6,21,"Unobserved","Female",18,"Correct",6,0
"R_6LhYUmfB5GxaAiV","58.247.52.2",2016-03-03 15:17:35,2016-03-03 15:28:10.000002,"Unobserved","Action",15,21,6,21,"Unobserved","Female",18,"Correct",6,0
"R_6AsAXZ3ftxV1QTr","58.247.52.2",2016-03-03 14:57:08.000002,2016-03-03 16:30:17.000002,"Unobserved","Action",15,18,3,18,"Unobserved","Female",19,"Correct",3,0
"R_aWdhBSaYAz0smdD","58.247.52.2",2016-03-03 16:56:08.999998,2016-03-03 17:08:06,"Unobserved","Action",15,10,-5,10,"Unobserved","Female",20,"Correct",-5,0
"R_02ozf7mX1srqHn7","58.247.52.2",2016-03-03 16:51:13,2016-03-04 12:43:50,"Unobserved","Action",15,20,5,20,"Unobserved","Female",19,"Correct",5,0
"R_73PwmgogMRYthc1","58.247.52.2",2016-03-04 12:49:16,2016-03-04 12:58:31,"Unobserved","Action",15,15,0,15,"Unobserved","Female",20,"Correct",0,0
"R_eDUAavYdbpwnGT3","108.61.250.50",2016-03-03 17:03:10,2016-03-04 13:08:04,"Unobserved","Action",15,16,1,17,"Unobserved","Female",19,"Correct",2,1
"R_bCujOl0qIzIYLK5","58.247.52.2",2016-03-04 13:29:34,2016-03-04 13:57:01,"Unobserved","Action",15,20,5,20,"Unobserved","Female",19,"Correct",5,0
"R_4VkTYI4hvDvDqZv","58.247.52.2",2016-03-04 13:39:53,2016-03-04 15:06:29,"Unobserved","Action",15,20,5,20,"Unobserved","Male",20,"Correct",5,0
"R_3E58Hw2oaF10Amh","58.247.52.2",2016-03-04 15:46:28,2016-03-04 15:52:37,"Unobserved","Action",15,16,1,16,"Unobserved","Female",18,"Correct",1,0
"R_8ct3Y184RRtoDNX","61.129.42.14",2016-03-04 16:00:01,2016-03-04 16:11:01,"Unobserved","Action",15,16,1,17,"Unobserved","Male",19,"Correct",2,1
"R_73UU8BuRULgljcV","108.61.250.50",2016-03-04 15:58:40.000002,2016-03-04 16:36:20,"Unobserved","Action",15,15,0,15,"Unobserved","Male",22,"Correct",0,0
"R_3jBWChHYGsnSQQZ","58.247.52.2",2016-03-03 15:45:37,2016-03-03 15:54:07,"Unobserved","Action",16,17,1,18,"Unobserved","Male",21,"Correct",2,1
"R_dhTlhdDO4jFGHo9","58.247.52.2",2016-03-03 16:27:15,2016-03-03 16:33:47.000002,"Unobserved","Action",16,21,5,21,"Unobserved","Female",20,"Correct",5,0
"R_4T6axBiOoXnTSxT","58.247.52.2",2016-03-03 16:59:30,2016-03-04 12:25:54,"Unobserved","Action",16,15,-1,15,"Unobserved","Male",20,"Correct",-1,0
"R_0lfo6sbeZJ82NmZ","58.247.52.2",2016-03-04 12:51:19.000002,2016-03-04 12:57:46,"Unobserved","Action",16,18,2,18,"Unobserved","Female",20,"Correct",2,0
"R_6r1b3OdT8MuiKod","58.247.52.2",2016-03-03 12:29:27.000002,2016-03-03 12:37:05.000002,"Unobserved","Action",18,17,-1,19,"Unobserved","Female",18,"Correct",1,2
"R_2l5auQJBT3s99op","58.247.52.2",2016-03-04 13:34:22.999998,2016-03-04 14:16:27.000002,"Unobserved","Action",18,19,1,19,"Unobserved","Male",19,"Correct",1,0
"R_eQV00qIwZEHc1V3","108.61.250.50",2016-03-04 13:31:35,2016-03-04 14:43:08.999998,"Unobserved","Action",18,17,-1,17,"Unobserved","Female",19,"Correct",-1,0
"R_6eQHfNdEifhQXGZ","58.247.52.2",2016-03-04 16:47:53,2016-03-04 16:55:17,"Unobserved","Action",18,22,4,24,"Unobserved","Female",18,"Correct",6,2
"R_9GDozCKhs8ybj7v","58.247.52.2",2016-03-03 16:18:14.999998,2016-03-03 16:35:42.000002,"Unobserved","Action",19,18,-1,19,"Unobserved","Female",21,"Correct",0,1
"R_ewYB7wWEdm3cqzP","58.247.52.2",2016-03-03 12:25:57,2016-03-03 12:33:29,"Unobserved","Action",20,21,1,21,"Unobserved","Female",20,"Correct",1,0
"R_9WTeMJG3DvZIIER","108.61.250.50",2016-03-03 12:37:07,2016-03-03 13:02:08.000002,"Unobserved","Action",20,24,4,24,"Unobserved","Male",20,"Correct",4,0
"R_1ZTQOVliU09KXqd","58.247.52.2",2016-03-03 13:30:37,2016-03-03 14:29:19.000002,"Unobserved","Action",20,17,-3,17,"Unobserved","Female",18,"Correct",-3,0
"R_9GZl5owwgfrqxRb","58.247.52.2",2016-03-03 14:18:37,2016-03-03 14:54:54,"Unobserved","Action",20,15,-5,15,"Unobserved","Female",19,"Correct",-5,0
"R_9TbN90G7Kwma2q1","58.247.52.2",2016-03-04 12:08:16,2016-03-04 12:39:08.999998,"Unobserved","Action",20,18,-2,20,"Unobserved","Female",19,"Correct",0,2
"R_56E2l9ntFbODxvn","58.247.52.2",2016-03-04 14:08:47.000002,2016-03-04 14:16:35,"Unobserved","Action",20,27,7,28,"Unobserved","Female",18,"Correct",8,1
"R_eA3c6AuER4nIT2Z","58.247.52.2",2016-03-04 14:51:38.999998,2016-03-04 15:24:27,"Unobserved","Action",20,20,0,20,"Unobserved","Female",20,"Correct",0,0
"R_01XA4nbKKLtuK0J","108.61.250.50",2016-03-04 15:35:32,2016-03-04 15:41:18.999998,"Unobserved","Action",20,18,-2,20,"Unobserved","Female",18,"Correct",0,2
"R_80zoJjeDdQYduKN","108.61.250.50",2016-03-04 15:57:19,2016-03-04 16:04:46.999998,"Unobserved","Action",20,13,-7,13,"Unobserved","Male",20,"Correct",-7,0
"R_3kGcelMXPDeRzSJ","108.61.250.50",2016-03-04 15:55:25.999998,2016-03-04 16:14:05,"Unobserved","Action",20,17,-3,19,"Unobserved","Female",19,"Correct",-1,2
"R_bxOgU8HT8RdxbY9","58.247.52.2",2016-03-04 16:51:59.999998,2016-03-04 17:00:46,"Unobserved","Action",20,18,-2,18,"Unobserved","Male",18,"Correct",-2,0
"R_0NjRisFmxvds1NP","58.247.52.2",2016-03-03 16:24:43,2016-03-03 16:31:06,"Unobserved","Action",25,18,-7,20,"Unobserved","Male",20,"Correct",-5,2
"R_bdTp7qkYBlx77jT","58.247.52.2",2016-03-03 13:07:36.000002,2016-03-03 16:35:16,"Unobserved","Action",25,26,1,26,"Unobserved","Male",19,"Correct",1,0
"R_3RaZIgxZW9MqYPb","58.247.52.2",2016-03-04 14:14:12,2016-03-04 15:24:59,"Unobserved","Action",25,20,-5,20,"Unobserved","Male",21,"Correct",-5,0
"R_2hRTa10U2GRWSnX","108.61.250.50",2016-03-04 16:03:54,2016-03-04 16:12:55.999998,"Unobserved","Action",25,28,3,28,"Unobserved","Male",20,"Correct",3,0
"R_eQeTozcsP5fdQ3P","58.247.52.2",2016-03-03 12:29:23,2016-03-03 12:37:58,"Unobserved","Inaction",0,19,NA,19,"Unobserved","Female",18,"Correct",NA,0
"R_3guQcd11hRRWxWR","58.247.52.2",2016-03-03 12:32:16,2016-03-03 12:43:19,"Unobserved","Inaction",0,19,NA,19,"Unobserved","Male",22,"Correct",NA,0
"R_9p3F96z8fvg0Akt","58.247.52.2",2016-03-03 13:19:38.999998,2016-03-03 14:46:17.999998,"Unobserved","Inaction",0,17,NA,17,"Unobserved","Male",19,"Correct",NA,0
"R_9WBB1SamDKeHVFb","58.247.52.2",2016-03-03 15:09:59,2016-03-03 15:29:50,"Unobserved","Inaction",0,17,NA,17,"Unobserved","Male",20,"Correct",NA,0
"R_5bsRktTLuMjTFGt","58.247.52.2",2016-03-03 13:25:02,2016-03-03 15:42:31,"Unobserved","Inaction",0,18,NA,18,"Unobserved","Male",19,"Correct",NA,0
"R_1U4yx6xhPbAXu6N","58.247.52.2",2016-03-03 15:06:36.999998,2016-03-03 15:48:28.000002,"Unobserved","Inaction",0,26,NA,26,"Unobserved","Female",21,"Correct",NA,0
"R_7aNrux7QWIEKxZb","58.247.52.2",2016-03-03 15:51:15.000002,2016-03-03 16:01:16,"Unobserved","Inaction",0,18,NA,18,"Unobserved","Female",19,"Correct",NA,0
"R_egPwvCcIShJTYkB","108.61.250.50",2016-03-03 16:14:00,2016-03-03 16:27:47,"Unobserved","Inaction",0,19,NA,19,"Unobserved","Female",19,"Correct",NA,0
"R_dmxKpTooKKI39IN","58.247.52.2",2016-03-03 16:13:02,2016-03-03 16:27:55,"Unobserved","Inaction",0,2,NA,3,"Unobserved","Female",19,"Correct",NA,1
"R_79j3fKk5SMnRxpb","58.247.52.2",2016-03-03 16:01:36,2016-03-03 16:34:35,"Unobserved","Inaction",0,21,NA,23,"Unobserved","Male",21,"Correct",NA,2
"R_0STgvhXtaRpWg4d","58.247.52.2",2016-03-03 16:54:25,2016-03-03 17:00:16,"Unobserved","Inaction",0,15,NA,15,"Unobserved","Male",19,"Correct",NA,0
"R_6SbUsAER170m2Sp","58.247.52.2",2016-03-03 17:21:36,2016-03-04 12:28:04,"Unobserved","Inaction",0,18,NA,18,"Unobserved","Female",18,"Correct",NA,0
"R_8J4oHuYtoR4sZlr","58.247.52.2",2016-03-04 12:58:52,2016-03-04 13:07:54,"Unobserved","Inaction",0,16,NA,16,"Unobserved","Female",18,"Correct",NA,0
"R_73Wp3ZgX464WDaJ","58.247.52.2",2016-03-04 13:05:25.999998,2016-03-04 13:12:36.999998,"Unobserved","Inaction",0,19,NA,19,"Unobserved","Female",20,"Correct",NA,0
"R_0JPVR6vJEiRk5dX","58.247.52.2",2016-03-04 13:28:33.999998,2016-03-04 13:38:52,"Unobserved","Inaction",0,10,NA,10,"Unobserved","Male",18,"Correct",NA,0
"R_3VkNnnN5urW3EeV","108.61.250.50",2016-03-04 14:19:11.000002,2016-03-04 14:28:34,"Unobserved","Inaction",0,21,NA,21,"Unobserved","Female",19,"Correct",NA,0
"R_2t8n3MBHEOVC1bn","58.247.52.2",2016-03-04 14:16:56,2016-03-04 14:28:38,"Unobserved","Inaction",0,20,NA,20,"Unobserved","Female",20,"Correct",NA,0
"R_diqKdcfyYxjWTlP","58.247.52.2",2016-03-04 13:18:51.999998,2016-03-04 14:31:38.999998,"Unobserved","Inaction",0,13,NA,13,"Unobserved","Female",20,"Correct",NA,0
"R_6kVkjLLcZNfBqNT","58.247.52.2",2016-03-04 14:48:38.999998,2016-03-04 15:25:28,"Unobserved","Inaction",0,15,NA,15,"Unobserved","Female",19,"Correct",NA,0
"R_bxEhY29oR36uewt","58.247.52.2",2016-03-04 13:48:35,2016-03-04 15:27:47,"Unobserved","Inaction",0,26,NA,26,"Unobserved","Female",20,"Correct",NA,0
"R_0jtGY5LarA1VD13","58.247.52.2",2016-03-04 15:23:49.999998,2016-03-04 15:29:33.999998,"Unobserved","Inaction",0,19,NA,19,"Unobserved","Male",18,"Correct",NA,0
"R_eQVK4WGqXTVXmLj","58.247.52.2",2016-03-04 13:41:17.999998,2016-03-04 15:31:51.999998,"Unobserved","Inaction",0,27,NA,27,"Unobserved","Female",19,"Correct",NA,0
"R_6ms8wiSFimuQfzL","108.61.250.50",2016-03-04 15:50:49.999998,2016-03-04 15:57:53.000002,"Unobserved","Inaction",0,18,NA,19,"Unobserved","Male",19,"Correct",NA,1
"R_cHfzenl3XL0N2ex","58.247.52.2",2016-03-04 15:44:58,2016-03-04 16:00:09.000002,"Unobserved","Inaction",0,16,NA,16,"Unobserved","Male",18,"Correct",NA,0
"R_cuyEYzZT2NDnGWp","58.247.52.2",2016-03-04 16:07:30,2016-03-04 16:13:38.000002,"Unobserved","Inaction",0,12,NA,12,"Unobserved","Female",20,"Correct",NA,0
"R_1zAja902VAWDYGx","58.247.52.2",2016-03-03 12:22:19.999998,2016-03-03 12:31:57,"Unobserved","Inaction",1,16,NA,16,"Unobserved","Female",19,"Correct",NA,0
"R_2rg6KH94j51JbCZ","58.247.52.2",2016-03-03 16:00:06,2016-03-03 16:05:46,"Unobserved","Inaction",1,15,NA,16,"Unobserved","Female",22,"Correct",NA,1
"R_9vonjoTz69RUuLr","58.247.52.2",2016-03-04 13:36:44,2016-03-04 13:46:21,"Unobserved","Inaction",1,15,NA,17,"Unobserved","Female",19,"Correct",NA,2
"R_7UJdgU7ZpaDa4Ml","58.247.52.2",2016-03-04 13:38:17,2016-03-04 14:15:30.000002,"Unobserved","Inaction",1,9,NA,9,"Unobserved","Female",20,"Correct",NA,0
"R_3dSiizPW0do7KFn","61.129.42.14",2016-03-04 14:13:28.000002,2016-03-04 14:43:16,"Unobserved","Inaction",1,14,NA,14,"Unobserved","Female",19,"Correct",NA,0
"R_7ajXtR4e2QQJbql","58.247.52.2",2016-03-04 14:26:54,2016-03-04 15:26:24.000002,"Unobserved","Inaction",1,16,NA,16,"Unobserved","Male",19,"Correct",NA,0
"R_0x567cd9GFVfeSx","58.247.52.2",2016-03-03 15:07:08,2016-03-03 15:42:00,"Unobserved","Inaction",2,28,NA,29,"Unobserved","Female",19,"Correct",NA,1
"R_6W0VkjXhT22oVh3","58.247.52.2",2016-03-03 17:07:44,2016-03-03 17:13:25,"Unobserved","Inaction",2,23,NA,23,"Unobserved","Male",19,"Correct",NA,0
"R_cUB77IIH4gk7pXL","58.247.52.2",2016-03-03 17:21:01,2016-03-04 12:25:18.999998,"Unobserved","Inaction",2,14,NA,15,"Unobserved","Female",19,"Correct",NA,1
"R_0xoxfmMmKL31t0F","108.61.250.50",2016-03-03 12:26:22.999998,2016-03-03 12:34:09,"Unobserved","Inaction",3,5,NA,5,"Unobserved","Male",19,"Correct",NA,0
"R_50fdg6mgYMdJJyd","58.247.52.2",2016-03-03 14:23:56,2016-03-03 14:38:21,"Unobserved","Inaction",3,11,NA,11,"Unobserved","Female",20,"Correct",NA,0
"R_enRDCf9eGFstZhr","58.247.52.2",2016-03-04 15:26:51,2016-03-04 15:32:48,"Unobserved","Inaction",3,9,NA,10,"Unobserved","Female",18,"Correct",NA,1
"R_beAFgFqfE20cpxz","108.61.250.50",2016-03-04 15:01:40.000002,2016-03-04 15:15:14,"Unobserved","Inaction",4,15,NA,15,"Unobserved","Male",19,"Correct",NA,0
"R_5gUo00X4nPw9l41","58.247.52.2",2016-03-04 15:47:58,2016-03-04 15:54:10.999998,"Unobserved","Inaction",4,10,NA,10,"Unobserved","Female",20,"Correct",NA,0
"R_6DaSRlFP8LjzU7r","58.247.52.2",2016-03-03 13:12:32.000002,2016-03-03 14:55:14,"Unobserved","Inaction",5,11,NA,11,"Unobserved","Female",20,"Correct",NA,0
"R_ea1Z2zdVoCCBMzP","58.247.52.2",2016-03-03 16:45:30,2016-03-03 16:52:25.999998,"Unobserved","Inaction",5,24,NA,24,"Unobserved","Female",19,"Correct",NA,0
"R_eKkC6am3gumCyNf","108.61.250.50",2016-03-04 15:34:49.999998,2016-03-04 15:41:30,"Unobserved","Inaction",5,14,NA,14,"Unobserved","Female",19,"Correct",NA,0
"R_abDeKE5SLhSWcFn","58.247.52.2",2016-03-04 15:37:06.000002,2016-03-04 15:43:12,"Unobserved","Inaction",5,19,NA,19,"Unobserved","Female",19,"Correct",NA,0
"R_3eeuUjNzM1T7VNb","58.247.52.2",2016-03-04 16:11:11.000002,2016-03-04 16:18:23,"Unobserved","Inaction",5,9,NA,12,"Unobserved","Female",22,"Correct",NA,3
"R_87IvcuF19ALkJ4F","58.247.52.2",2016-03-03 14:48:24,2016-03-03 14:55:40,"Unobserved","Inaction",6,15,NA,15,"Unobserved","Female",19,"Correct",NA,0
"R_9G3RixlNSYBnJHL","58.247.52.2",2016-03-03 13:31:12,2016-03-03 15:30:19.000002,"Unobserved","Inaction",6,26,NA,26,"Unobserved","Male",20,"Correct",NA,0
"R_8012ZZe1fod0R25","58.247.52.2",2016-03-03 16:32:42.000002,2016-03-03 16:48:08,"Unobserved","Inaction",6,11,NA,13,"Unobserved","Female",20,"Correct",NA,2
"R_b8jlxk4el4i3OZf","58.247.52.2",2016-03-03 12:31:19,2016-03-03 12:40:43,"Unobserved","Inaction",7,21,NA,21,"Unobserved","Female",19,"Correct",NA,0
"R_a9wBAXpvqCYjZxb","58.246.118.131",2016-03-04 14:56:23,2016-03-04 15:03:35,"Unobserved","Inaction",7,7,NA,7,"Unobserved","Male",21,"Correct",NA,0
"R_djtlwNqmsEoVORf","58.247.52.2",2016-03-03 15:04:57.000002,2016-03-03 15:12:34,"Unobserved","Inaction",8,13,NA,15,"Unobserved","Female",19,"Correct",NA,2
"R_cHZtqX3GgkeCZWR","108.61.250.50",2016-03-03 13:11:03,2016-03-03 15:54:14,"Unobserved","Inaction",8,13,NA,13,"Unobserved","Male",17,"Correct",NA,0
"R_6JPpnWBVEVeli29","58.247.52.2",2016-03-03 17:26:10.000002,2016-03-04 12:38:10.000002,"Unobserved","Inaction",9,8,NA,12,"Unobserved","Female",18,"Correct",NA,4
"R_9mC4oyesWay8w7j","58.247.52.2",2016-03-03 12:18:12.000002,2016-03-03 12:29:25,"Unobserved","Inaction",10,11,NA,12,"Unobserved","Male",21,"Correct",NA,1
"R_cHJdcA1zrv8hVhb","58.247.52.2",2016-03-03 13:04:31,2016-03-03 13:13:57,"Unobserved","Inaction",10,7,NA,7,"Unobserved","Female",21,"Correct",NA,0
"R_8kLGRWrhRrCKLyt","58.247.52.2",2016-03-04 13:23:35,2016-03-04 13:33:46,"Unobserved","Inaction",10,14,NA,14,"Unobserved","Female",20,"Correct",NA,0
"R_8BtT5zczQbYy6ah","58.247.52.2",2016-03-03 13:06:25.000002,2016-03-04 15:23:44,"Unobserved","Inaction",10,22,NA,22,"Unobserved","Male",19,"Correct",NA,0
"R_bx9SKSAtztbzCvj","58.247.52.2",2016-03-03 12:35:42.999998,2016-03-03 16:58:29.999998,"Unobserved","Inaction",12,11,NA,11,"Unobserved","Female",19,"Correct",NA,0
"R_25HZ2ceydAdKnZz","58.247.52.2",2016-03-04 15:52:40,2016-03-04 16:22:47.999998,"Unobserved","Inaction",13,18,NA,18,"Unobserved","Female",18,"Correct",NA,0
"R_eFds8mkLcMy9PlH","58.247.52.2",2016-03-03 13:48:15,2016-03-03 14:00:23,"Unobserved","Inaction",15,14,NA,15,"Unobserved","Male",19,"Correct",NA,1
"R_8pS2DFyXQSOMHCB","108.61.250.50",2016-03-04 14:09:04.999998,2016-03-04 14:48:43,"Unobserved","Inaction",15,14,NA,14,"Unobserved","Female",20,"Correct",NA,0
"R_8o9f7ILQWe5e4E5","58.247.52.2",2016-03-03 12:30:16.999998,2016-03-03 13:08:08,"Unobserved","Inaction",20,14,NA,14,"Unobserved","Male",19,"Correct",NA,0
"R_8G2SpNTQCiwOhCZ","58.247.52.2",2016-03-03 15:20:54,2016-03-03 15:28:19.000002,"Observed","Action",2,2,0,2,"Observed","Male",19,"Correct",0,0
"R_cNHwLHr4Dz6NakJ","58.247.52.2",2016-03-03 17:06:30,2016-03-04 12:27:29,"Observed","Action",5,7,2,7,"Observed","Female",19,"Correct",2,0
"R_1RAG7UU1rwSxOct","108.61.250.50",2016-03-04 13:38:06.999998,2016-03-04 14:16:51.000002,"Observed","Action",5,6,1,14,"Observed","Male",20,"Correct",9,8
"R_5A0s9SCMouujDCd","58.247.52.2",2016-03-03 14:10:25,2016-03-03 15:46:21,"Observed","Action",6,9,3,9,"Observed","Female",19,"Correct",3,0
"R_b46YC2gvdCNvxMF","58.247.52.2",2016-03-04 13:42:29,2016-03-04 15:28:58.000002,"Observed","Action",8,11,3,11,"Observed","Female",19,"Correct",3,0
"R_b8dBkRqJalvugjH","58.247.52.2",2016-03-04 15:44:20,2016-03-04 15:50:56,"Observed","Action",8,8,0,8,"Observed","Female",18,"Correct",0,0
"R_a3R2dsPvBh99Sjb","108.61.250.50",2016-03-04 15:25:21.999998,2016-03-04 15:31:36.000002,"Observed","Action",9,9,0,10,"Observed","Female",19,"Correct",1,1
"R_1NfnTZqStsOrGrH","58.247.52.2",2016-03-03 14:22:51,2016-03-03 14:29:36.000002,"Observed","Action",10,14,4,14,"Observed","Male",18,"Correct",4,0
"R_0Illnob3PpiAyvX","108.61.250.50",2016-03-03 14:15:53.999998,2016-03-03 14:55:02,"Observed","Action",10,19,9,19,"Observed","Female",18,"Correct",9,0
"R_73WWqSTwyK8qRpj","58.247.52.2",2016-03-03 14:56:31,2016-03-03 15:06:12.999998,"Observed","Action",10,14,4,14,"Observed","Female",19,"Correct",4,0
"R_czOkmXhvVXwMs8B","58.247.52.2",2016-03-03 16:06:10.000002,2016-03-03 16:27:25.000002,"Observed","Action",10,16,6,16,"Unobserved","Female",19,"-2",6,0
"R_6JTHMXZ8eEz0MAZ","58.247.52.2",2016-03-03 16:23:48,2016-03-03 16:30:04.000002,"Observed","Action",10,16,6,16,"Observed","Female",18,"Correct",6,0
"R_bCreqiBRJYICjGt","108.61.250.50",2016-03-03 16:48:33,2016-03-03 16:54:25,"Observed","Action",10,12,2,13,"Observed","Female",20,"Correct",3,1
"R_0IYHscZB8unnKOp","108.61.250.50",2016-03-04 13:23:31,2016-03-04 13:34:09,"Observed","Action",10,14,4,15,"Observed","Female",21,"Correct",5,1
"R_8Ak6DAssLtTRnSd","58.247.52.2",2016-03-04 13:32:31,2016-03-04 15:15:52,"Observed","Action",10,16,6,18,"Observed","Male",19,"Correct",8,2
"R_ekA4gD7j8w3pk4R","108.61.250.50",2016-03-04 13:24:04.999998,2016-03-04 15:27:14,"Observed","Action",10,14,4,14,"Observed","Female",19,"Correct",4,0
"R_bd5LndXL6ESyn77","58.247.52.2",2016-03-03 15:47:59,2016-03-03 16:27:57,"Observed","Action",12,13,1,13,"Observed","Female",19,"Correct",1,0
